Feature,Correlation,Abs_Correlation
times_called_up_sqrt,0.9932018037669618,0.9932018037669618
times_called_up,0.9656381833439482,0.9656381833439482
avg_efficiency,0.27546337704922674,0.27546337704922674
avg_points,0.2745702656399952,0.2745702656399952
avg_field_goals_made,0.2735955739701154,0.2735955739701154
avg_true_shooting_att,0.25292122588470983,0.25292122588470983
avg_field_goals_att,0.2509367609650289,0.2509367609650289
avg_two_points_made,0.24820832896361858,0.24820832896361858
avg_two_points_att,0.24059086951007078,0.24059086951007078
avg_free_throws_made,0.225275609256449,0.225275609256449
avg_minutes,0.22148057916868352,0.22148057916868352
avg_free_throws_att,0.21210532732543158,0.21210532732543158
avg_def_rebounds,0.19882348570681183,0.19882348570681183
total_free_throws_made,0.1973298345716014,0.1973298345716014
ftm,0.1973298345716014,0.1973298345716014
total_points,0.19475921791717393,0.19475921791717393
points,0.19475921791717393,0.19475921791717393
fgm,0.1905091050547438,0.1905091050547438
total_field_goals_made,0.1905091050547438,0.1905091050547438
total_games_started,0.18908993986655193,0.18908993986655193
total_efficiency,0.1880417078566151,0.1880417078566151
avg_steals,0.18292465873375077,0.18292465873375077
total_two_points_made,0.18176866743264086,0.18176866743264086
avg_turnovers,0.18144415622524904,0.18144415622524904
total_free_throws_att,0.18100121842772188,0.18100121842772188
fta,0.18100121842772188,0.18100121842772188
avg_blocked_att,0.1800913615441508,0.1800913615441508
avg_rebounds,0.17898269263351235,0.17898269263351235
total_true_shooting_att,0.17697271024356098,0.17697271024356098
total_two_points_att,0.1769281184385131,0.1769281184385131
